% psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  71.00  0.234226E-004 -0.456717E-004  0.513276E-004  0.673825E-004 -0.132949E-003  0.149050E-003
  71.50  0.231876E-004 -0.452731E-004  0.508657E-004  0.686794E-004 -0.135606E-003  0.152006E-003
  72.00  0.229122E-004 -0.447894E-004  0.503097E-004  0.699151E-004 -0.138137E-003  0.154823E-003
  72.50  0.225991E-004 -0.442261E-004  0.496655E-004  0.710923E-004 -0.140548E-003  0.157505E-003
  73.00  0.222506E-004 -0.435882E-004  0.489390E-004  0.722133E-004 -0.142843E-003  0.160059E-003
  73.50  0.218690E-004 -0.428807E-004  0.481353E-004  0.732802E-004 -0.145027E-003  0.162490E-003
  74.00  0.214565E-004 -0.421081E-004  0.472596E-004  0.742953E-004 -0.147105E-003  0.164802E-003
  74.50  0.210150E-004 -0.412746E-004  0.463166E-004  0.752607E-004 -0.149080E-003  0.167000E-003
  75.00  0.205465E-004 -0.403842E-004  0.453105E-004  0.761781E-004 -0.150958E-003  0.169090E-003
  75.50  0.200527E-004 -0.394406E-004  0.442456E-004  0.770494E-004 -0.152741E-003  0.171074E-003
  76.00  0.195353E-004 -0.384475E-004  0.431258E-004  0.778764E-004 -0.154433E-003  0.172958E-003
  76.50  0.189959E-004 -0.374080E-004  0.419547E-004  0.786607E-004 -0.156038E-003  0.174744E-003
  77.00  0.184360E-004 -0.363253E-004  0.407358E-004  0.794039E-004 -0.157559E-003  0.176437E-003
  77.50  0.178569E-004 -0.352023E-004  0.394724E-004  0.801074E-004 -0.158999E-003  0.178039E-003
  78.00  0.172600E-004 -0.340418E-004  0.381674E-004  0.807727E-004 -0.160360E-003  0.179554E-003
  78.50  0.166465E-004 -0.328464E-004  0.368237E-004  0.814011E-004 -0.161647E-003  0.180986E-003
  79.00  0.160176E-004 -0.316185E-004  0.354442E-004  0.819939E-004 -0.162860E-003  0.182336E-003
  79.50  0.153743E-004 -0.303605E-004  0.340313E-004  0.825522E-004 -0.164003E-003  0.183608E-003
  80.00  0.147178E-004 -0.290745E-004  0.325874E-004  0.830773E-004 -0.165078E-003  0.184804E-003
  80.50  0.140490E-004 -0.277626E-004  0.311149E-004  0.835702E-004 -0.166087E-003  0.185927E-003
  81.00  0.133689E-004 -0.264267E-004  0.296159E-004  0.840319E-004 -0.167032E-003  0.186979E-003
  81.50  0.126783E-004 -0.250687E-004  0.280923E-004  0.844633E-004 -0.167916E-003  0.187962E-003
  82.00  0.119780E-004 -0.236903E-004  0.265462E-004  0.848654E-004 -0.168739E-003  0.188879E-003
  82.50  0.112688E-004 -0.222932E-004  0.249795E-004  0.852390E-004 -0.169505E-003  0.189730E-003
  83.00  0.105515E-004 -0.208789E-004  0.233937E-004  0.855849E-004 -0.170213E-003  0.190519E-003
  83.50  0.982681E-005 -0.194489E-004  0.217905E-004  0.859038E-004 -0.170867E-003  0.191246E-003
  84.00  0.909535E-005 -0.180047E-004  0.201716E-004  0.861964E-004 -0.171466E-003  0.191913E-003
  84.50  0.835779E-005 -0.165475E-004  0.185384E-004  0.864634E-004 -0.172013E-003  0.192521E-003
  85.00  0.761473E-005 -0.150787E-004  0.168923E-004  0.867052E-004 -0.172509E-003  0.193073E-003
  85.50  0.686674E-005 -0.135994E-004  0.152347E-004  0.869224E-004 -0.172954E-003  0.193568E-003
  86.00  0.611440E-005 -0.121109E-004  0.135669E-004  0.871155E-004 -0.173350E-003  0.194009E-003
  86.50  0.535825E-005 -0.106143E-004  0.118901E-004  0.872849E-004 -0.173697E-003  0.194395E-003
  87.00  0.459880E-005 -0.911076E-005  0.102056E-004  0.874310E-004 -0.173997E-003  0.194728E-003
  87.50  0.383654E-005 -0.760124E-005  0.851457E-005  0.875540E-004 -0.174249E-003  0.195009E-003
  88.00  0.307197E-005 -0.608681E-005  0.681809E-005  0.876544E-004 -0.174455E-003  0.195238E-003
  88.50  0.230558E-005 -0.456849E-005  0.511730E-005  0.877322E-004 -0.174614E-003  0.195415E-003
  89.00  0.153781E-005 -0.304727E-005  0.341331E-005  0.877876E-004 -0.174728E-003  0.195542E-003
  89.50  0.769127E-006 -0.152412E-005  0.170719E-005  0.878208E-004 -0.174796E-003  0.195617E-003
  90.00  0.000000E+000  0.000000E+000  0.000000E+000  0.878319E-004 -0.174819E-003  0.195643E-003
  90.50 -0.769127E-006  0.152412E-005  0.170719E-005  0.878208E-004 -0.174796E-003  0.195617E-003
  91.00 -0.153781E-005  0.304727E-005  0.341331E-005  0.877876E-004 -0.174728E-003  0.195542E-003
  91.50 -0.230558E-005  0.456849E-005  0.511730E-005  0.877322E-004 -0.174614E-003  0.195415E-003
  92.00 -0.307197E-005  0.608681E-005  0.681809E-005  0.876544E-004 -0.174455E-003  0.195238E-003
