% psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  83.50  0.975953E-005 -0.194816E-004  0.217895E-004  0.856583E-004 -0.170988E-003  0.191244E-003
  84.00  0.903446E-005 -0.180343E-004  0.201707E-004  0.859571E-004 -0.171584E-003  0.191911E-003
  84.50  0.830298E-005 -0.165741E-004  0.185375E-004  0.862297E-004 -0.172129E-003  0.192520E-003
  85.00  0.756573E-005 -0.151024E-004  0.168915E-004  0.864767E-004 -0.172622E-003  0.193071E-003
  85.50  0.682333E-005 -0.136205E-004  0.152340E-004  0.866986E-004 -0.173065E-003  0.193567E-003
  86.00  0.607635E-005 -0.121294E-004  0.135663E-004  0.868959E-004 -0.173458E-003  0.194007E-003
  86.50  0.532536E-005 -0.106303E-004  0.118896E-004  0.870689E-004 -0.173804E-003  0.194393E-003
  87.00  0.457091E-005 -0.912428E-005  0.102052E-004  0.872182E-004 -0.174102E-003  0.194727E-003
  87.50  0.381352E-005 -0.761240E-005  0.851420E-005  0.873439E-004 -0.174353E-003  0.195007E-003
  88.00  0.305370E-005 -0.609568E-005  0.681779E-005  0.874464E-004 -0.174557E-003  0.195236E-003
  88.50  0.229195E-005 -0.457510E-005  0.511708E-005  0.875259E-004 -0.174716E-003  0.195414E-003
  89.00  0.152876E-005 -0.305165E-005  0.341316E-005  0.875826E-004 -0.174829E-003  0.195540E-003
  89.50  0.764618E-006 -0.152630E-005  0.170711E-005  0.876165E-004 -0.174897E-003  0.195616E-003
  90.00  0.000000E+000  0.000000E+000  0.000000E+000  0.876278E-004 -0.174919E-003  0.195641E-003
  90.50 -0.764618E-006  0.152630E-005  0.170711E-005  0.876165E-004 -0.174897E-003  0.195616E-003
  91.00 -0.152876E-005  0.305165E-005  0.341316E-005  0.875826E-004 -0.174829E-003  0.195540E-003
  91.50 -0.229195E-005  0.457510E-005  0.511708E-005  0.875259E-004 -0.174716E-003  0.195414E-003
  92.00 -0.305370E-005  0.609568E-005  0.681779E-005  0.874464E-004 -0.174557E-003  0.195236E-003
  92.50 -0.381352E-005  0.761240E-005  0.851420E-005  0.873439E-004 -0.174353E-003  0.195007E-003
  93.00 -0.457091E-005  0.912428E-005  0.102052E-004  0.872182E-004 -0.174102E-003  0.194727E-003
  93.50 -0.532536E-005  0.106303E-004  0.118896E-004  0.870689E-004 -0.173804E-003  0.194393E-003
  94.00 -0.607635E-005  0.121294E-004  0.135663E-004  0.868959E-004 -0.173458E-003  0.194007E-003
  94.50 -0.682333E-005  0.136205E-004  0.152340E-004  0.866986E-004 -0.173065E-003  0.193567E-003
  95.00 -0.756573E-005  0.151024E-004  0.168915E-004  0.864767E-004 -0.172622E-003  0.193071E-003
  95.50 -0.830298E-005  0.165741E-004  0.185375E-004  0.862297E-004 -0.172129E-003  0.192520E-003
  96.00 -0.903446E-005  0.180343E-004  0.201707E-004  0.859571E-004 -0.171584E-003  0.191911E-003
  96.50 -0.975953E-005  0.194816E-004  0.217895E-004  0.856583E-004 -0.170988E-003  0.191244E-003
  97.00 -0.104775E-004  0.209149E-004  0.233925E-004  0.853327E-004 -0.170338E-003  0.190517E-003
  97.50 -0.111878E-004  0.223326E-004  0.249782E-004  0.849795E-004 -0.169633E-003  0.189728E-003
  98.00 -0.118895E-004  0.237334E-004  0.265449E-004  0.845981E-004 -0.168872E-003  0.188877E-003
  98.50 -0.125819E-004  0.251156E-004  0.280909E-004  0.841876E-004 -0.168052E-003  0.187960E-003
  99.00 -0.132643E-004  0.264776E-004  0.296143E-004  0.837472E-004 -0.167173E-003  0.186977E-003
  99.50 -0.139356E-004  0.278178E-004  0.311132E-004  0.832760E-004 -0.166232E-003  0.185925E-003
 100.00 -0.145951E-004  0.291342E-004  0.325856E-004  0.827730E-004 -0.165228E-003  0.184802E-003
 100.50 -0.152417E-004  0.304250E-004  0.340293E-004  0.822371E-004 -0.164159E-003  0.183606E-003
 101.00 -0.158745E-004  0.316881E-004  0.354420E-004  0.816673E-004 -0.163021E-003  0.182334E-003
 101.50 -0.164923E-004  0.329214E-004  0.368214E-004  0.810625E-004 -0.161814E-003  0.180983E-003
 102.00 -0.170941E-004  0.341226E-004  0.381649E-004  0.804213E-004 -0.160534E-003  0.179552E-003
 102.50 -0.176785E-004  0.352892E-004  0.394697E-004  0.797426E-004 -0.159179E-003  0.178036E-003
 103.00 -0.182443E-004  0.364186E-004  0.407329E-004  0.790248E-004 -0.157746E-003  0.176434E-003
 103.50 -0.187902E-004  0.375082E-004  0.419516E-004  0.782666E-004 -0.156233E-003  0.174741E-003
 104.00 -0.193146E-004  0.385550E-004  0.431224E-004  0.774665E-004 -0.154636E-003  0.172955E-003
 104.50 -0.198160E-004  0.395560E-004  0.442420E-004  0.766228E-004 -0.152952E-003  0.171071E-003
 105.00 -0.202928E-004  0.405078E-004  0.453065E-004  0.757339E-004 -0.151177E-003  0.169086E-003
 105.50 -0.207433E-004  0.414070E-004  0.463123E-004  0.747979E-004 -0.149309E-003  0.166997E-003
 106.00 -0.211655E-004  0.422499E-004  0.472550E-004  0.738130E-004 -0.147343E-003  0.164798E-003
 106.50 -0.215576E-004  0.430325E-004  0.481303E-004  0.727772E-004 -0.145275E-003  0.162485E-003
 107.00 -0.219173E-004  0.437506E-004  0.489335E-004  0.716884E-004 -0.143102E-003  0.160054E-003
 107.50 -0.222425E-004  0.443998E-004  0.496595E-004  0.705443E-004 -0.140818E-003  0.157500E-003
 108.00 -0.225308E-004  0.449752E-004  0.503031E-004  0.693427E-004 -0.138419E-003  0.154817E-003
 108.50 -0.227796E-004  0.454718E-004  0.508585E-004  0.680810E-004 -0.135901E-003  0.152000E-003
 109.00 -0.229861E-004  0.458841E-004  0.513197E-004  0.667566E-004 -0.133257E-003  0.149043E-003
 109.50 -0.231476E-004  0.462063E-004  0.516801E-004  0.653667E-004 -0.130483E-003  0.145940E-003
 110.00 -0.232607E-004  0.464322E-004  0.519328E-004  0.639083E-004 -0.127571E-003  0.142684E-003
 110.50 -0.233223E-004  0.465552E-004  0.520703E-004  0.623784E-004 -0.124517E-003  0.139268E-003
 111.00 -0.233287E-004  0.465680E-004  0.520846E-004  0.607735E-004 -0.121314E-003  0.135685E-003
 111.50 -0.232762E-004  0.464630E-004  0.519672E-004  0.590900E-004 -0.117953E-003  0.131926E-003
 112.00 -0.231604E-004  0.462320E-004  0.517089E-004  0.573241E-004 -0.114428E-003  0.127984E-003
 112.50 -0.229771E-004  0.458661E-004  0.512996E-004  0.554717E-004 -0.110731E-003  0.123848E-003
 113.00 -0.227214E-004  0.453557E-004  0.507287E-004  0.535284E-004 -0.106851E-003  0.119509E-003
 113.50 -0.223882E-004  0.446905E-004  0.499847E-004  0.514893E-004 -0.102781E-003  0.114957E-003
 114.00 -0.219718E-004  0.438593E-004  0.490551E-004  0.493495E-004 -0.985096E-004  0.110179E-003
 114.50 -0.214662E-004  0.428500E-004  0.479262E-004  0.471032E-004 -0.940257E-004  0.105164E-003
 115.00 -0.208647E-004  0.416494E-004  0.465833E-004  0.447445E-004 -0.893174E-004  0.998983E-004
 115.50 -0.201602E-004  0.402431E-004  0.450105E-004  0.422668E-004 -0.843715E-004  0.943665E-004
 116.00 -0.193449E-004  0.386156E-004  0.431902E-004  0.396629E-004 -0.791737E-004  0.885530E-004
 116.50 -0.184101E-004  0.367497E-004  0.411032E-004  0.369250E-004 -0.737084E-004  0.824402E-004
 117.00 -0.173465E-004  0.346265E-004  0.387285E-004  0.340445E-004 -0.679583E-004  0.760090E-004
 117.50 -0.161437E-004  0.322254E-004  0.360430E-004  0.310117E-004 -0.619045E-004  0.692379E-004
 118.00 -0.147901E-004  0.295236E-004  0.330210E-004  0.278162E-004 -0.555257E-004  0.621035E-004
 118.50 -0.132732E-004  0.264956E-004  0.296343E-004  0.244463E-004 -0.487987E-004  0.545796E-004
 119.00 -0.115788E-004  0.231132E-004  0.258513E-004  0.208888E-004 -0.416974E-004  0.466370E-004
 119.50 -0.969112E-005  0.193451E-004  0.216368E-004  0.171290E-004 -0.341923E-004  0.382428E-004
 120.00 -0.759242E-005  0.151557E-004  0.169511E-004  0.131505E-004 -0.262505E-004  0.293602E-004
 120.50 -0.526275E-005  0.105053E-004  0.117498E-004  0.893437E-005 -0.178345E-004  0.199472E-004
 121.00 -0.267947E-005  0.534866E-005  0.598228E-005  0.445939E-005 -0.890166E-005  0.995619E-005
 121.50  0.183213E-006 -0.365722E-006  0.409047E-006 -0.298976E-006  0.596805E-006  0.667504E-006
 122.00  0.335490E-005 -0.669692E-005  0.749026E-005 -0.536896E-005  0.107173E-004  0.119869E-004
 122.50  0.686975E-005 -0.137132E-004  0.153377E-004 -0.107834E-004  0.215253E-004  0.240753E-004
 123.00  0.107676E-004 -0.214938E-004  0.240400E-004 -0.165806E-004  0.330975E-004  0.370184E-004
 123.50  0.150949E-004 -0.301320E-004  0.337015E-004 -0.228060E-004  0.455244E-004  0.509175E-004
 124.00  0.199072E-004 -0.397379E-004  0.444454E-004 -0.295136E-004  0.589139E-004  0.658931E-004
 124.50  0.252703E-004 -0.504436E-004  0.564193E-004 -0.367685E-004  0.733959E-004  0.820907E-004
 125.00  0.312643E-004 -0.624086E-004  0.698018E-004 -0.446500E-004  0.891288E-004  0.996873E-004
 125.50  0.379873E-004 -0.758289E-004  0.848119E-004 -0.532563E-004  0.106308E-003  0.118902E-003
 126.00  0.455617E-004 -0.909485E-004  0.101723E-003 -0.627102E-004  0.125180E-003  0.140009E-003
 126.50  0.541423E-004 -0.108077E-003  0.120880E-003 -0.731692E-004  0.146058E-003  0.163360E-003
 127.00  0.639303E-004 -0.127615E-003  0.142733E-003 -0.848384E-004  0.169351E-003  0.189413E-003
 127.50  0.751926E-004 -0.150097E-003  0.167878E-003 -0.979928E-004  0.195610E-003  0.218782E-003
 128.00  0.882955E-004 -0.176252E-003  0.197132E-003 -0.113013E-003  0.225593E-003  0.252317E-003
 128.50  0.103762E-003 -0.207126E-003  0.231663E-003 -0.130447E-003  0.260393E-003  0.291241E-003
 129.00  0.122379E-003 -0.244288E-003  0.273228E-003 -0.151125E-003  0.301671E-003  0.337408E-003
 129.50  0.145416E-003 -0.290274E-003  0.324661E-003 -0.176404E-003  0.352130E-003  0.393845E-003
 130.00  0.175150E-003 -0.349628E-003  0.391047E-003 -0.208736E-003  0.416671E-003  0.466031E-003
 130.50  0.216429E-003 -0.432027E-003  0.483206E-003 -0.253405E-003  0.505838E-003  0.565762E-003
 131.00  0.283932E-003 -0.566775E-003  0.633918E-003 -0.326627E-003  0.652000E-003  0.729239E-003
 131.50  0.201041E-003 -0.101206E-002  0.103183E-002 -0.227236E-003  0.114392E-002  0.116627E-002
 132.00 -0.137832E-003 -0.103376E-002  0.104291E-002  0.153078E-003  0.114810E-002  0.115826E-002
 132.50 -0.339403E-003 -0.997094E-003  0.105328E-002  0.370393E-003  0.108814E-002  0.114945E-002
 133.00 -0.488966E-003 -0.943848E-003  0.106299E-002  0.524352E-003  0.101215E-002  0.113991E-002
 133.50 -0.607193E-003 -0.883548E-003  0.107207E-002  0.639848E-003  0.931065E-003  0.112973E-002
 134.00 -0.703514E-003 -0.820186E-003  0.108057E-002  0.728510E-003  0.849328E-003  0.111897E-002
 134.50 -0.783328E-003 -0.755819E-003  0.108852E-002  0.797120E-003  0.769127E-003  0.110768E-002
 135.00 -0.850126E-003 -0.691621E-003  0.109593E-002  0.850126E-003  0.691621E-003  0.109593E-002
 135.50 -0.906349E-003 -0.628299E-003  0.110283E-002  0.890667E-003  0.617427E-003  0.108375E-002
 136.00 -0.953796E-003 -0.566293E-003  0.110924E-002  0.921070E-003  0.546863E-003  0.107118E-002
 136.50 -0.993841E-003 -0.505880E-003  0.111518E-002  0.943120E-003  0.480062E-003  0.105827E-002
 137.00 -0.102757E-002 -0.447228E-003  0.112067E-002  0.958221E-003  0.417047E-003  0.104504E-002
 137.50 -0.105584E-002 -0.390436E-003  0.112572E-002  0.967502E-003  0.357768E-003  0.103153E-002
 138.00 -0.107939E-002 -0.335555E-003  0.113034E-002  0.971883E-003  0.302135E-003  0.101776E-002
 138.50 -0.109879E-002 -0.282605E-003  0.113455E-002  0.972123E-003  0.250028E-003  0.100376E-002
 139.00 -0.111454E-002 -0.231583E-003  0.113835E-002  0.968856E-003  0.201312E-003  0.989549E-003
 139.50 -0.112708E-002 -0.182468E-003  0.114175E-002  0.962614E-003  0.155842E-003  0.975147E-003
 140.00 -0.113675E-002 -0.135231E-003  0.114477E-002  0.953849E-003  0.113473E-003  0.960575E-003
 140.50 -0.114388E-002 -0.898354E-004  0.114741E-002  0.942945E-003  0.740546E-004  0.945849E-003
 141.00 -0.114874E-002 -0.462380E-004  0.114967E-002  0.930232E-003  0.374428E-004  0.930985E-003
 141.50 -0.115156E-002 -0.439379E-005  0.115157E-002  0.915994E-003  0.349498E-005  0.916000E-003
 142.00 -0.115256E-002  0.357441E-004  0.115311E-002  0.900475E-003 -0.279263E-004  0.900908E-003
 142.50 -0.115190E-002  0.742235E-004  0.115429E-002  0.883887E-003 -0.569537E-004  0.885720E-003
 143.00 -0.114977E-002  0.111092E-003  0.115513E-002  0.866415E-003 -0.837140E-004  0.870450E-003
 143.50 -0.114630E-002  0.146398E-003  0.115561E-002  0.848219E-003 -0.108329E-003  0.855108E-003
 144.00 -0.114162E-002  0.180187E-003  0.115576E-002  0.829439E-003 -0.130913E-003  0.839707E-003
 144.50 -0.113585E-002  0.212504E-003  0.115556E-002  0.810197E-003 -0.151578E-003  0.824254E-003
 145.00 -0.112910E-002  0.243395E-003  0.115503E-002  0.790601E-003 -0.170427E-003  0.808762E-003
 145.50 -0.112144E-002  0.272902E-003  0.115417E-002  0.770744E-003 -0.187560E-003  0.793237E-003
 146.00 -0.111297E-002  0.301067E-003  0.115297E-002  0.750708E-003 -0.203072E-003  0.777689E-003
 146.50 -0.110376E-002  0.327928E-003  0.115145E-002  0.730565E-003 -0.217051E-003  0.762126E-003
 147.00 -0.109389E-002  0.353526E-003  0.114959E-002  0.710378E-003 -0.229582E-003  0.746555E-003
 147.50 -0.108340E-002  0.377895E-003  0.114742E-002  0.690203E-003 -0.240746E-003  0.730984E-003
 148.00 -0.107236E-002  0.401073E-003  0.114491E-002  0.670087E-003 -0.250618E-003  0.715420E-003
 148.50 -0.106082E-002  0.423091E-003  0.114208E-002  0.650073E-003 -0.259271E-003  0.699869E-003
 149.00 -0.104883E-002  0.443983E-003  0.113893E-002  0.630199E-003 -0.266772E-003  0.684337E-003
 149.50 -0.103642E-002  0.463778E-003  0.113545E-002  0.610496E-003 -0.273186E-003  0.668832E-003
