 % the field is psp
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.197500E+003  0.300000E+002 -0.286115E+002 -0.100212E+002 -0.300345E-006 -0.191615E-005  0.193954E-005 -0.455360E-007 -0.290511E-006  0.294058E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.198000E+003  0.300000E+002 -0.285317E+002 -0.102705E+002  0.192476E-005 -0.372099E-006  0.196040E-005  0.291815E-006 -0.564143E-007  0.297218E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.198500E+003  0.300000E+002 -0.284497E+002 -0.105191E+002  0.510622E-006  0.191505E-005  0.198196E-005  0.774156E-007  0.290342E-006  0.300485E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.199000E+003  0.300000E+002 -0.283656E+002 -0.107670E+002 -0.187228E-005  0.715212E-006  0.200424E-005 -0.283855E-006  0.108433E-006  0.303861E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.199500E+003  0.300000E+002 -0.282792E+002 -0.110142E+002 -0.979944E-006 -0.177468E-005  0.202726E-005 -0.148568E-006 -0.269056E-006  0.307349E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.200000E+003  0.300000E+002 -0.281908E+002 -0.112606E+002  0.159478E-005 -0.128971E-005  0.205102E-005  0.241780E-006 -0.195530E-006  0.310949E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.200500E+003  0.300000E+002 -0.281002E+002 -0.115062E+002  0.161559E-005  0.130321E-005  0.207570E-005  0.244934E-006  0.197575E-006  0.314688E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.201000E+003  0.300000E+002 -0.280074E+002 -0.117510E+002 -0.875352E-006  0.190998E-005  0.210101E-005 -0.132708E-006  0.289563E-006  0.318524E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.201500E+003  0.300000E+002 -0.279125E+002 -0.119950E+002 -0.210555E-005 -0.303293E-006  0.212728E-005 -0.319209E-006 -0.459805E-007  0.322504E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.202000E+003  0.300000E+002 -0.278155E+002 -0.122382E+002 -0.389568E-006 -0.211885E-005  0.215437E-005 -0.590596E-007 -0.321224E-006  0.326608E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
