 % the field is ppp
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.197500E+003  0.300000E+002 -0.286115E+002 -0.100212E+002 -0.680427E-005  0.100950E-004  0.121741E-004 -0.117997E-004  0.175064E-004  0.211117E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.198000E+003  0.300000E+002 -0.285317E+002 -0.102705E+002 -0.883103E-005 -0.879856E-005  0.124660E-004 -0.153148E-004 -0.152584E-004  0.216185E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.198500E+003  0.300000E+002 -0.284497E+002 -0.105191E+002  0.104400E-004 -0.735452E-005  0.127704E-004  0.181055E-004 -0.127545E-004  0.221469E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.199000E+003  0.300000E+002 -0.283656E+002 -0.107670E+002  0.577803E-005  0.117429E-004  0.130875E-004  0.100208E-004  0.203656E-004  0.226974E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.199500E+003  0.300000E+002 -0.282792E+002 -0.110142E+002 -0.127450E-004  0.419565E-005  0.134178E-004 -0.221040E-004  0.727665E-005  0.232709E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.200000E+003  0.300000E+002 -0.281908E+002 -0.112606E+002 -0.268212E-005 -0.134994E-004  0.137632E-004 -0.465181E-005 -0.234130E-004  0.238706E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.200500E+003  0.300000E+002 -0.281002E+002 -0.115062E+002  0.140642E-004 -0.129337E-005  0.141236E-004  0.243934E-004 -0.224326E-005  0.244963E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.201000E+003  0.300000E+002 -0.280074E+002 -0.117510E+002  0.706418E-007  0.145000E-004  0.145001E-004  0.122527E-006  0.251498E-004  0.251501E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.201500E+003  0.300000E+002 -0.279125E+002 -0.119950E+002 -0.148627E-004 -0.956106E-006  0.148934E-004 -0.257798E-004 -0.165839E-005  0.258331E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.202000E+003  0.300000E+002 -0.278155E+002 -0.122382E+002  0.176394E-005 -0.152029E-004  0.153049E-004  0.305970E-005 -0.263707E-004  0.265476E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.202500E+003  0.300000E+002 -0.277164E+002 -0.124805E+002  0.155612E-004  0.233298E-005  0.157351E-004  0.269932E-004  0.404689E-005  0.272949E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.203000E+003  0.300000E+002 -0.276151E+002 -0.127219E+002 -0.264309E-005  0.159684E-004  0.161857E-004 -0.458498E-005  0.277004E-004  0.280773E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.203500E+003  0.300000E+002 -0.275118E+002 -0.129625E+002 -0.164417E-004 -0.267102E-005  0.166573E-004 -0.285225E-004 -0.463360E-005  0.288964E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
