 % the field is uss
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  70.00 -0.479453E-003  0.995876E-003  0.110528E-002  0.151137E-003 -0.363581E-003  0.393742E-003
  70.50 -0.473371E-003  0.922796E-003  0.103713E-002  0.146060E-003 -0.329624E-003  0.360535E-003
  71.00 -0.462199E-003  0.855237E-003  0.972141E-003  0.139376E-003 -0.298566E-003  0.329496E-003
  71.50 -0.447406E-003  0.793124E-003  0.910614E-003  0.131646E-003 -0.270302E-003  0.300656E-003
  72.00 -0.430167E-003  0.736175E-003  0.852642E-003  0.123311E-003 -0.244656E-003  0.273975E-003
  72.50 -0.411395E-003  0.683998E-003  0.798185E-003  0.114706E-003 -0.221419E-003  0.249367E-003
  73.00 -0.391779E-003  0.636157E-003  0.747119E-003  0.106079E-003 -0.200371E-003  0.226719E-003
  73.50 -0.371829E-003  0.592213E-003  0.699266E-003  0.976076E-004 -0.181297E-003  0.205903E-003
  74.00 -0.351914E-003  0.551750E-003  0.654425E-003  0.894138E-004 -0.163998E-003  0.186789E-003
  74.50 -0.332292E-003  0.514389E-003  0.612384E-003  0.815785E-004 -0.148289E-003  0.169247E-003
  75.00 -0.313143E-003  0.479791E-003  0.572938E-003  0.741516E-004 -0.134007E-003  0.153155E-003
  75.50 -0.294583E-003  0.447659E-003  0.535889E-003  0.671599E-004 -0.121008E-003  0.138395E-003
  76.00 -0.276686E-003  0.417733E-003  0.501055E-003  0.606144E-004 -0.109162E-003  0.124862E-003
  76.50 -0.259494E-003  0.389790E-003  0.468266E-003  0.545142E-004 -0.983594E-004  0.112456E-003
  77.00 -0.243027E-003  0.363636E-003  0.437371E-003  0.488509E-004 -0.885004E-004  0.101088E-003
  77.50 -0.227288E-003  0.339104E-003  0.408230E-003  0.436105E-004 -0.794990E-004  0.906751E-004
  78.00 -0.212269E-003  0.316049E-003  0.380717E-003  0.387759E-004 -0.712787E-004  0.811433E-004
  78.50 -0.197956E-003  0.294344E-003  0.354718E-003  0.343277E-004 -0.637720E-004  0.724242E-004
  79.00 -0.184328E-003  0.273877E-003  0.330130E-003  0.302454E-004 -0.569188E-004  0.644557E-004
  79.50 -0.171361E-003  0.254551E-003  0.306856E-003  0.265081E-004 -0.506654E-004  0.571809E-004
  80.00 -0.159029E-003  0.236276E-003  0.284810E-003  0.230949E-004 -0.449634E-004  0.505479E-004
  80.50 -0.147304E-003  0.218974E-003  0.263909E-003  0.199854E-004 -0.397695E-004  0.445087E-004
  81.00 -0.136157E-003  0.202573E-003  0.244079E-003  0.171596E-004 -0.350441E-004  0.390198E-004
  81.50 -0.125558E-003  0.187006E-003  0.225247E-003  0.145982E-004 -0.307518E-004  0.340409E-004
  82.00 -0.115479E-003  0.172211E-003  0.207345E-003  0.122831E-004 -0.268599E-004  0.295352E-004
  82.50 -0.105888E-003  0.158132E-003  0.190310E-003  0.101967E-004 -0.233388E-004  0.254690E-004
  83.00 -0.967557E-004  0.144714E-003  0.174080E-003  0.832250E-005 -0.201615E-004  0.218117E-004
  83.50 -0.880516E-004  0.131906E-003  0.158594E-003  0.664517E-005 -0.173036E-004  0.185357E-004
  84.00 -0.797453E-004  0.119657E-003  0.143795E-003  0.515028E-005 -0.147425E-004  0.156162E-004
  84.50 -0.718064E-004  0.107920E-003  0.129626E-003  0.382442E-005 -0.124579E-004  0.130317E-004
  85.00 -0.642046E-004  0.966497E-004  0.116032E-003  0.265524E-005 -0.104314E-004  0.107640E-004
  85.50 -0.569092E-004  0.858000E-004  0.102958E-003  0.163144E-005 -0.864647E-005  0.879904E-005
  86.00 -0.498899E-004  0.753270E-004  0.903502E-004  0.742853E-006 -0.708832E-005  0.712714E-005
  86.50 -0.431159E-004  0.651872E-004  0.781560E-004 -0.196536E-007 -0.574378E-005  0.574381E-005
  87.00 -0.365568E-004  0.553381E-004  0.663227E-004 -0.664125E-006 -0.460138E-005  0.464906E-005
  87.50 -0.301821E-004  0.457372E-004  0.547983E-004 -0.119761E-005 -0.365123E-005  0.384262E-005
  88.00 -0.239613E-004  0.363428E-004  0.435309E-004 -0.162600E-005 -0.288508E-005  0.331173E-005
  88.50 -0.178634E-004  0.271131E-004  0.324688E-004 -0.195417E-005 -0.229618E-005  0.301517E-005
  89.00 -0.118578E-004  0.180069E-004  0.215605E-004 -0.218587E-005 -0.187930E-005  0.288267E-005
  89.50 -0.591357E-005  0.898287E-005  0.107546E-004 -0.232379E-005 -0.163069E-005  0.283886E-005
  90.00  0.000000E+000  0.000000E+000  0.000000E+000 -0.236959E-005 -0.154807E-005  0.283046E-005
  90.50  0.591357E-005 -0.898287E-005  0.107546E-004 -0.232379E-005 -0.163069E-005  0.283886E-005
  91.00  0.118578E-004 -0.180069E-004  0.215605E-004 -0.218587E-005 -0.187930E-005  0.288267E-005
  91.50  0.178634E-004 -0.271131E-004  0.324688E-004 -0.195417E-005 -0.229618E-005  0.301517E-005
  92.00  0.239613E-004 -0.363428E-004  0.435309E-004 -0.162600E-005 -0.288508E-005  0.331173E-005
  92.50  0.301821E-004 -0.457372E-004  0.547983E-004 -0.119761E-005 -0.365123E-005  0.384262E-005
  93.00  0.365568E-004 -0.553381E-004  0.663227E-004 -0.664125E-006 -0.460138E-005  0.464906E-005
  93.50  0.431159E-004 -0.651872E-004  0.781560E-004 -0.196536E-007 -0.574378E-005  0.574381E-005
  94.00  0.498899E-004 -0.753270E-004  0.903502E-004  0.742853E-006 -0.708832E-005  0.712714E-005
  94.50  0.569092E-004 -0.858000E-004  0.102958E-003  0.163144E-005 -0.864647E-005  0.879904E-005
  95.00  0.642046E-004 -0.966497E-004  0.116032E-003  0.265524E-005 -0.104314E-004  0.107640E-004
  95.50  0.718064E-004 -0.107920E-003  0.129626E-003  0.382442E-005 -0.124579E-004  0.130317E-004
  96.00  0.797453E-004 -0.119657E-003  0.143795E-003  0.515028E-005 -0.147425E-004  0.156162E-004
  96.50  0.880516E-004 -0.131906E-003  0.158594E-003  0.664517E-005 -0.173036E-004  0.185357E-004
  97.00  0.967557E-004 -0.144714E-003  0.174080E-003  0.832250E-005 -0.201615E-004  0.218117E-004
  97.50  0.105888E-003 -0.158132E-003  0.190310E-003  0.101967E-004 -0.233388E-004  0.254690E-004
  98.00  0.115479E-003 -0.172211E-003  0.207345E-003  0.122831E-004 -0.268599E-004  0.295352E-004
  98.50  0.125558E-003 -0.187006E-003  0.225247E-003  0.145982E-004 -0.307518E-004  0.340409E-004
  99.00  0.136157E-003 -0.202573E-003  0.244079E-003  0.171596E-004 -0.350441E-004  0.390198E-004
  99.50  0.147304E-003 -0.218974E-003  0.263909E-003  0.199854E-004 -0.397695E-004  0.445087E-004
 100.00  0.159029E-003 -0.236276E-003  0.284810E-003  0.230949E-004 -0.449634E-004  0.505479E-004
 100.50  0.171361E-003 -0.254551E-003  0.306856E-003  0.265081E-004 -0.506654E-004  0.571809E-004
 101.00  0.184328E-003 -0.273877E-003  0.330130E-003  0.302454E-004 -0.569188E-004  0.644557E-004
 101.50  0.197956E-003 -0.294344E-003  0.354718E-003  0.343277E-004 -0.637720E-004  0.724242E-004
 102.00  0.212269E-003 -0.316049E-003  0.380717E-003  0.387759E-004 -0.712787E-004  0.811433E-004
 102.50  0.227288E-003 -0.339104E-003  0.408230E-003  0.436105E-004 -0.794990E-004  0.906751E-004
 103.00  0.243027E-003 -0.363636E-003  0.437371E-003  0.488509E-004 -0.885004E-004  0.101088E-003
 103.50  0.259494E-003 -0.389790E-003  0.468266E-003  0.545142E-004 -0.983594E-004  0.112456E-003
 104.00  0.276686E-003 -0.417733E-003  0.501055E-003  0.606144E-004 -0.109162E-003  0.124862E-003
 104.50  0.294583E-003 -0.447659E-003  0.535889E-003  0.671599E-004 -0.121008E-003  0.138395E-003
 105.00  0.313143E-003 -0.479791E-003  0.572938E-003  0.741516E-004 -0.134007E-003  0.153155E-003
 105.50  0.332292E-003 -0.514389E-003  0.612384E-003  0.815785E-004 -0.148289E-003  0.169247E-003
 106.00  0.351914E-003 -0.551750E-003  0.654425E-003  0.894138E-004 -0.163998E-003  0.186789E-003
 106.50  0.371829E-003 -0.592213E-003  0.699266E-003  0.976076E-004 -0.181297E-003  0.205903E-003
 107.00  0.391779E-003 -0.636157E-003  0.747119E-003  0.106079E-003 -0.200371E-003  0.226719E-003
 107.50  0.411395E-003 -0.683998E-003  0.798185E-003  0.114706E-003 -0.221419E-003  0.249367E-003
 108.00  0.430167E-003 -0.736175E-003  0.852642E-003  0.123311E-003 -0.244656E-003  0.273975E-003
 108.50  0.447406E-003 -0.793124E-003  0.910614E-003  0.131646E-003 -0.270302E-003  0.300656E-003
 109.00  0.462199E-003 -0.855237E-003  0.972141E-003  0.139376E-003 -0.298566E-003  0.329496E-003
 109.50  0.473371E-003 -0.922796E-003  0.103713E-002  0.146060E-003 -0.329624E-003  0.360535E-003
 110.00  0.479453E-003 -0.995876E-003  0.110528E-002  0.151137E-003 -0.363581E-003  0.393742E-003
 110.50  0.478678E-003 -0.107422E-002  0.117604E-002  0.153920E-003 -0.400424E-003  0.428988E-003
 111.00  0.469015E-003 -0.115705E-002  0.124849E-002  0.153608E-003 -0.439958E-003  0.466003E-003
 111.50  0.448281E-003 -0.124292E-002  0.132129E-002  0.149316E-003 -0.481731E-003  0.504341E-003
 112.00  0.414347E-003 -0.132948E-002  0.139255E-002  0.140148E-003 -0.524956E-003  0.543342E-003
 112.50  0.365472E-003 -0.141334E-002  0.145983E-002  0.125318E-003 -0.568443E-003  0.582092E-003
 113.00  0.300777E-003 -0.149003E-002  0.152009E-002  0.104322E-003 -0.610570E-003  0.619418E-003
 113.50  0.220826E-003 -0.155417E-002  0.156978E-002  0.771551E-004 -0.649327E-003  0.653894E-003
 114.00  0.128242E-003 -0.159990E-002  0.160504E-002  0.445531E-004 -0.682464E-003  0.683917E-003
 114.50  0.281973E-004 -0.162180E-002  0.162205E-002  0.819495E-005 -0.707787E-003  0.707835E-003
 115.00 -0.714536E-004 -0.161604E-002  0.161762E-002 -0.292104E-004 -0.723598E-003  0.724187E-003
 115.50 -0.160681E-003 -0.158191E-002  0.159005E-002 -0.640606E-004 -0.729235E-003  0.732043E-003
 116.00 -0.228657E-003 -0.152312E-002  0.154019E-002 -0.923098E-004 -0.725599E-003  0.731447E-003
 116.50 -0.266046E-003 -0.144856E-002  0.147278E-002 -0.110259E-003 -0.715469E-003  0.723915E-003
 117.00 -0.267876E-003 -0.137159E-002  0.139751E-002 -0.115587E-003 -0.703361E-003  0.712796E-003
 117.50 -0.236168E-003 -0.130768E-002  0.132883E-002 -0.108334E-003 -0.694746E-003  0.703142E-003
 118.00 -0.181063E-003 -0.127011E-002  0.128295E-002 -0.913967E-004 -0.694608E-003  0.700596E-003
 118.50 -0.119147E-003 -0.126506E-002  0.127066E-002 -0.700622E-004 -0.705682E-003  0.709151E-003
 119.00 -0.683415E-004 -0.128780E-002  0.128961E-002 -0.503049E-004 -0.727048E-003  0.728787E-003
 119.50 -0.403243E-004 -0.132273E-002  0.132335E-002 -0.361515E-004 -0.754027E-003  0.754893E-003
 120.00 -0.334083E-004 -0.134900E-002  0.134942E-002 -0.271120E-004 -0.780027E-003  0.780498E-003
 120.50 -0.302061E-004 -0.135096E-002  0.135130E-002 -0.172146E-004 -0.800210E-003  0.800395E-003
 121.00 -0.357090E-005 -0.132937E-002  0.132938E-002  0.304499E-005 -0.815558E-003  0.815564E-003
 121.50  0.695282E-004 -0.130648E-002  0.130833E-002  0.418291E-004 -0.834933E-003  0.835980E-003
 122.00  0.192334E-003 -0.131940E-002  0.133335E-002  0.100198E-003 -0.873041E-003  0.878772E-003
 122.50  0.340988E-003 -0.140225E-002  0.144312E-002  0.169026E-003 -0.944268E-003  0.959276E-003
 123.00  0.473376E-003 -0.156663E-002  0.163659E-002  0.231489E-003 -0.105556E-002  0.108064E-002
 123.50  0.551521E-003 -0.179495E-002  0.187777E-002  0.270499E-003 -0.120337E-002  0.123339E-002
 124.00  0.562139E-003 -0.205496E-002  0.213046E-002  0.275932E-003 -0.137789E-002  0.140525E-002
