 % the field is all
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.105932E+001  0.105932E+001  0.105932E+001  0.369393E+001  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.423435E+003  0.782624E+001  0.350000E+001 -0.300000E+001  0.607554E-003 -0.285774E-003  0.671408E-003 -0.421206E-003  0.254104E-003  0.491918E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.422784E+003  0.787147E+001  0.360000E+001 -0.300000E+001  0.621676E-003 -0.227641E-003  0.662044E-003 -0.435640E-003  0.179236E-003  0.471071E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.422140E+003  0.791770E+001  0.370000E+001 -0.300000E+001  0.629755E-003 -0.168421E-003  0.651888E-003 -0.438425E-003  0.104344E-003  0.450670E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.421504E+003  0.796492E+001  0.380000E+001 -0.300000E+001  0.631749E-003 -0.108915E-003  0.641069E-003 -0.429602E-003  0.313107E-004  0.430741E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.420876E+003  0.801311E+001  0.390000E+001 -0.300000E+001  0.627740E-003 -0.499024E-004  0.629720E-003 -0.409550E-003 -0.379684E-004  0.411307E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.420255E+003  0.806226E+001  0.400000E+001 -0.300000E+001  0.617924E-003  0.787861E-005  0.617974E-003 -0.378996E-003 -0.101647E-003  0.392390E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.419642E+003  0.811234E+001  0.410000E+001 -0.300000E+001  0.602603E-003  0.637523E-004  0.605966E-003 -0.339005E-003 -0.157998E-003  0.374016E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.419036E+003  0.816333E+001  0.420000E+001 -0.300000E+001  0.582167E-003  0.117122E-003  0.593832E-003 -0.290968E-003 -0.205481E-003  0.356209E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.418438E+003  0.821523E+001  0.430000E+001 -0.300000E+001  0.557074E-003  0.167483E-003  0.581706E-003 -0.236565E-003 -0.242808E-003  0.338997E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.417848E+003  0.826801E+001  0.440000E+001 -0.300000E+001  0.527828E-003  0.214433E-003  0.569723E-003 -0.177722E-003 -0.269005E-003  0.322411E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
