 % the field is uss
 %psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w)
  0.107843E+002  0.106888E+002  0.105000E+002  0.000000E+000  0.610688E-003  0.110239E-002  0.126024E-002 -0.348377E-002 -0.525630E-002  0.630598E-002
  0.106849E+002  0.107870E+002  0.106000E+002  0.000000E+000 -0.926100E-003 -0.100392E-002  0.136584E-002  0.408906E-002  0.486309E-002  0.635375E-002
  0.105873E+002  0.108853E+002  0.107000E+002  0.000000E+000  0.109054E-002  0.679869E-003  0.128511E-002 -0.451760E-002 -0.424876E-002  0.620167E-002
  0.104915E+002  0.109836E+002  0.108000E+002  0.000000E+000 -0.967488E-003 -0.375435E-003  0.103778E-002  0.466088E-002  0.364015E-002  0.591393E-002
  0.103973E+002  0.110820E+002  0.109000E+002  0.000000E+000  0.727997E-003  0.330326E-003  0.799434E-003 -0.466733E-002 -0.324762E-002  0.568603E-002
  0.103048E+002  0.111803E+002  0.110000E+002  0.000000E+000 -0.653597E-003 -0.506619E-003  0.826953E-003  0.479318E-002  0.304190E-002  0.567695E-002
  0.102140E+002  0.112787E+002  0.111000E+002  0.000000E+000  0.869530E-003  0.643379E-003  0.108167E-002 -0.513853E-002 -0.277631E-002  0.584058E-002
  0.101247E+002  0.113772E+002  0.112000E+002  0.000000E+000 -0.118632E-002 -0.455749E-003  0.127085E-002  0.551015E-002  0.223203E-002  0.594506E-002
  0.100369E+002  0.114756E+002  0.113000E+002  0.000000E+000  0.119516E-002  0.287065E-004  0.119550E-002 -0.559824E-002 -0.151361E-002  0.579925E-002
  0.995063E+001  0.115741E+002  0.114000E+002  0.000000E+000 -0.864262E-003  0.167050E-003  0.880258E-003  0.539576E-002  0.972635E-003  0.548272E-002
  0.986581E+001  0.116726E+002  0.115000E+002  0.000000E+000  0.649920E-003  0.698406E-005  0.649958E-003 -0.523288E-002 -0.725402E-003  0.528291E-002
  0.978241E+001  0.117712E+002  0.116000E+002  0.000000E+000 -0.767636E-003 -0.181654E-003  0.788836E-003  0.530584E-002  0.518546E-003  0.533112E-002
  0.970039E+001  0.118697E+002  0.117000E+002  0.000000E+000  0.987656E-003  0.105995E-003  0.993327E-003 -0.547055E-002 -0.117345E-003  0.547181E-002
  0.961973E+001  0.119683E+002  0.118000E+002  0.000000E+000 -0.106782E-002  0.151539E-003  0.107852E-002  0.549483E-002 -0.454413E-003  0.551358E-002
  0.954038E+001  0.120669E+002  0.119000E+002  0.000000E+000  0.926675E-003 -0.398180E-003  0.100860E-002 -0.528948E-002  0.100707E-002  0.538450E-002
  0.946232E+001  0.121655E+002  0.120000E+002  0.000000E+000 -0.675482E-003  0.444877E-003  0.808821E-003  0.496469E-002 -0.136847E-002  0.514984E-002
  0.938552E+001  0.122642E+002  0.121000E+002  0.000000E+000  0.546283E-003 -0.302878E-003  0.624628E-003 -0.472421E-002  0.154751E-002  0.497121E-002
  0.930994E+001  0.123628E+002  0.122000E+002  0.000000E+000 -0.629023E-003  0.175366E-003  0.653011E-003  0.465796E-002 -0.172299E-002  0.496641E-002
