 % the field is ups
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  61.50 -0.902423E-003  0.328508E-002  0.340677E-002  0.426133E-003 -0.136994E-002  0.143469E-002
  62.00 -0.210879E-002  0.284090E-002  0.353804E-002  0.898398E-003 -0.116078E-002  0.146783E-002
  62.50 -0.302878E-002  0.196691E-002  0.361140E-002  0.124563E-002 -0.794478E-003  0.147743E-002
  63.00 -0.353156E-002  0.844821E-003  0.363121E-002  0.142459E-002 -0.344369E-003  0.146562E-002
  63.50 -0.358889E-002 -0.326422E-003  0.360370E-002  0.143085E-002  0.113244E-003  0.143532E-002
  64.00 -0.325654E-002 -0.137835E-002  0.353623E-002  0.129046E-002  0.516075E-003  0.138983E-002
  64.50 -0.264096E-002 -0.219884E-002  0.343651E-002  0.104683E-002  0.824466E-003  0.133251E-002
  65.00 -0.186513E-002 -0.273705E-002  0.331212E-002  0.747884E-003  0.102226E-002  0.126663E-002
  65.50 -0.104238E-002 -0.299384E-002  0.317012E-002  0.436565E-003  0.111252E-002  0.119511E-002
  66.00 -0.261262E-003 -0.300540E-002  0.301674E-002  0.145571E-003  0.111103E-002  0.112053E-002
  66.50  0.419569E-003 -0.282633E-002  0.285730E-002 -0.104152E-003  0.103980E-002  0.104500E-002
  67.00  0.969463E-003 -0.251582E-002  0.269614E-002 -0.302357E-003  0.921906E-003  0.970221E-003
  67.50  0.138006E-002 -0.212841E-002  0.253667E-002 -0.447137E-003  0.778158E-003  0.897475E-003
  68.00  0.165842E-002 -0.170904E-002  0.238142E-002 -0.542218E-003  0.625349E-003  0.827685E-003
  68.50  0.182072E-002 -0.129137E-002  0.223219E-002 -0.594518E-003  0.475789E-003  0.761464E-003
  69.00  0.188720E-002 -0.898393E-003  0.209013E-002 -0.612257E-003  0.337617E-003  0.699174E-003
  69.50  0.187871E-002 -0.544040E-003  0.195590E-002 -0.603663E-003  0.215510E-003  0.640979E-003
  70.00  0.181458E-002 -0.235270E-003  0.182977E-002 -0.576200E-003  0.111518E-003  0.586893E-003
  70.50  0.171151E-002  0.259621E-004  0.171170E-002 -0.536200E-003  0.258498E-004  0.536823E-003
  71.00  0.158324E-002  0.241017E-003  0.160148E-002 -0.488762E-003 -0.424759E-004  0.490604E-003
  71.50  0.144063E-002  0.413258E-003  0.149873E-002 -0.437812E-003 -0.951193E-004  0.448026E-003
  72.00  0.129194E-002  0.547099E-003  0.140301E-002 -0.386251E-003 -0.134059E-003  0.408854E-003
  72.50  0.114328E-002  0.647354E-003  0.131383E-002 -0.336125E-003 -0.161350E-003  0.372845E-003
  73.00  0.998973E-003  0.718817E-003  0.123071E-002 -0.288802E-003 -0.178967E-003  0.339758E-003
  73.50  0.861964E-003  0.766015E-003  0.115315E-002 -0.245126E-003 -0.188725E-003  0.309360E-003
  74.00  0.734131E-003  0.793075E-003  0.108070E-002 -0.205548E-003 -0.192233E-003  0.281432E-003
  74.50  0.616554E-003  0.803668E-003  0.101293E-002 -0.170238E-003 -0.190883E-003  0.255768E-003
  75.00  0.509720E-003  0.801004E-003  0.949432E-003 -0.139161E-003 -0.185857E-003  0.232182E-003
  75.50  0.413687E-003  0.787848E-003  0.889855E-003 -0.112150E-003 -0.178138E-003  0.210502E-003
  76.00  0.328215E-003  0.766558E-003  0.833868E-003 -0.889485E-004 -0.168539E-003  0.190570E-003
  76.50  0.252856E-003  0.739120E-003  0.781176E-003 -0.692493E-004 -0.157713E-003  0.172247E-003
  77.00  0.187032E-003  0.707197E-003  0.731511E-003 -0.527209E-004 -0.146186E-003  0.155402E-003
  77.50  0.130080E-003  0.672162E-003  0.684633E-003 -0.390249E-004 -0.134367E-003  0.139920E-003
  78.00  0.812999E-004  0.635143E-003  0.640325E-003 -0.278298E-004 -0.122575E-003  0.125694E-003
  78.50  0.399794E-004  0.597054E-003  0.598391E-003 -0.188189E-004 -0.111047E-003  0.112630E-003
  79.00  0.541480E-005  0.558625E-003  0.558651E-003 -0.116965E-004 -0.999583E-004  0.100640E-003
  79.50 -0.230732E-004  0.520433E-003  0.520945E-003 -0.619035E-005 -0.894312E-004  0.896452E-004
  80.00 -0.461300E-004  0.482923E-003  0.485121E-003 -0.205331E-005 -0.795462E-004  0.795727E-004
  80.50 -0.643610E-004  0.446428E-003  0.451043E-003  0.936382E-006 -0.703507E-004  0.703570E-004
  81.00 -0.783281E-004  0.411191E-003  0.418585E-003  0.297577E-005 -0.618665E-004  0.619380E-004
  81.50 -0.885474E-004  0.377377E-003  0.387626E-003  0.423851E-005 -0.540953E-004  0.542611E-004
  82.00 -0.954891E-004  0.345089E-003  0.358056E-003  0.487637E-005 -0.470244E-004  0.472765E-004
  82.50 -0.995790E-004  0.314377E-003  0.329771E-003  0.502092E-005 -0.406300E-004  0.409390E-004
  83.00 -0.101200E-003  0.285252E-003  0.302672E-003  0.478537E-005 -0.348812E-004  0.352079E-004
  83.50 -0.100694E-003  0.257688E-003  0.276663E-003  0.426654E-005 -0.297424E-004  0.300469E-004
