 % the field is pps
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.197500E+003  0.300000E+002 -0.286115E+002 -0.100212E+002  0.229888E-002 -0.323058E-002  0.396503E-002  0.738812E-003 -0.103824E-002  0.127428E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.198000E+003  0.300000E+002 -0.285317E+002 -0.102705E+002  0.244319E-002 -0.319106E-002  0.401896E-002  0.809134E-003 -0.105681E-002  0.133100E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.198500E+003  0.300000E+002 -0.284497E+002 -0.105191E+002  0.258713E-002 -0.313973E-002  0.406831E-002  0.882302E-003 -0.107076E-002  0.138744E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.199000E+003  0.300000E+002 -0.283656E+002 -0.107670E+002  0.272985E-002 -0.307646E-002  0.411299E-002  0.958034E-003 -0.107968E-002  0.144345E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.199500E+003  0.300000E+002 -0.282792E+002 -0.110142E+002  0.287047E-002 -0.300119E-002  0.415292E-002  0.103601E-002 -0.108319E-002  0.149887E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.200000E+003  0.300000E+002 -0.281908E+002 -0.112606E+002  0.300808E-002 -0.291392E-002  0.418802E-002  0.111586E-002 -0.108093E-002  0.155356E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.200500E+003  0.300000E+002 -0.281002E+002 -0.115062E+002  0.314174E-002 -0.281475E-002  0.421822E-002  0.119716E-002 -0.107256E-002  0.160735E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.201000E+003  0.300000E+002 -0.280074E+002 -0.117510E+002  0.327048E-002 -0.270386E-002  0.424345E-002  0.127946E-002 -0.105779E-002  0.166010E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.201500E+003  0.300000E+002 -0.279125E+002 -0.119950E+002  0.339334E-002 -0.258151E-002  0.426368E-002  0.136224E-002 -0.103633E-002  0.171163E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.202000E+003  0.300000E+002 -0.278155E+002 -0.122382E+002  0.350935E-002 -0.244806E-002  0.427884E-002  0.144495E-002 -0.100797E-002  0.176179E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.202500E+003  0.300000E+002 -0.277164E+002 -0.124805E+002  0.361754E-002 -0.230395E-002  0.428891E-002  0.152703E-002 -0.972537E-003  0.181042E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.203000E+003  0.300000E+002 -0.276151E+002 -0.127219E+002  0.371697E-002 -0.214973E-002  0.429386E-002  0.160783E-002 -0.929900E-003  0.185738E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.203500E+003  0.300000E+002 -0.275118E+002 -0.129625E+002  0.380673E-002 -0.198606E-002  0.429367E-002  0.168673E-002 -0.880003E-003  0.190249E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.204000E+003  0.300000E+002 -0.274064E+002 -0.132021E+002  0.388595E-002 -0.181367E-002  0.428835E-002  0.176303E-002 -0.822851E-003  0.194560E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.204500E+003  0.300000E+002 -0.272988E+002 -0.134408E+002  0.395380E-002 -0.163339E-002  0.427791E-002  0.183607E-002 -0.758516E-003  0.198658E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.205000E+003  0.300000E+002 -0.271892E+002 -0.136785E+002  0.400954E-002 -0.144615E-002  0.426236E-002  0.190514E-002 -0.687144E-003  0.202528E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.205500E+003  0.300000E+002 -0.270776E+002 -0.139153E+002  0.405247E-002 -0.125297E-002  0.424175E-002  0.196955E-002 -0.608959E-003  0.206155E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.206000E+003  0.300000E+002 -0.269638E+002 -0.141511E+002  0.408202E-002 -0.105493E-002  0.421613E-002  0.202861E-002 -0.524259E-003  0.209526E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.206500E+003  0.300000E+002 -0.268480E+002 -0.143859E+002  0.409769E-002 -0.853191E-003  0.418557E-002  0.208164E-002 -0.433425E-003  0.212629E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.207000E+003  0.300000E+002 -0.267302E+002 -0.146197E+002  0.409909E-002 -0.648971E-003  0.415014E-002  0.212801E-002 -0.336909E-003  0.215452E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.207500E+003  0.300000E+002 -0.266103E+002 -0.148525E+002  0.408595E-002 -0.443544E-003  0.410995E-002  0.216711E-002 -0.235247E-003  0.217984E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
