 % the field is usp
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  86.00  0.526439E-007 -0.153063E-006  0.161863E-006  0.725491E-006 -0.210938E-005  0.223065E-005
  86.50  0.347046E-007 -0.102436E-006  0.108155E-006  0.546821E-006 -0.161403E-005  0.170414E-005
  87.00  0.215485E-007 -0.644492E-007  0.679561E-007  0.396261E-006 -0.118517E-005  0.124966E-005
  87.50  0.123207E-007 -0.372679E-007  0.392517E-007  0.271966E-006 -0.822645E-006  0.866436E-006
  88.00  0.624572E-008 -0.190687E-007  0.200655E-007  0.172377E-006 -0.526282E-006  0.553793E-006
  88.50  0.261443E-008 -0.804043E-008  0.845481E-008  0.962274E-007 -0.295938E-006  0.311190E-006
  89.00  0.770323E-009 -0.238147E-008  0.250296E-008  0.425349E-007 -0.131498E-006  0.138206E-006
  89.50  0.959640E-010 -0.297610E-009  0.312700E-009  0.105987E-007 -0.328693E-007  0.345358E-007
  90.00 -0.333433E-025  0.103515E-024  0.108753E-024  0.523641E-018 -0.162566E-017  0.170791E-017
  90.50 -0.959640E-010  0.297610E-009  0.312700E-009  0.105987E-007 -0.328693E-007  0.345358E-007
  91.00 -0.770323E-009  0.238147E-008  0.250296E-008  0.425349E-007 -0.131498E-006  0.138206E-006
  91.50 -0.261443E-008  0.804043E-008  0.845481E-008  0.962274E-007 -0.295938E-006  0.311190E-006
  92.00 -0.624572E-008  0.190687E-007  0.200655E-007  0.172377E-006 -0.526282E-006  0.553793E-006
  92.50 -0.123207E-007  0.372679E-007  0.392517E-007  0.271966E-006 -0.822645E-006  0.866436E-006
  93.00 -0.215485E-007  0.644492E-007  0.679561E-007  0.396261E-006 -0.118517E-005  0.124966E-005
  93.50 -0.347046E-007  0.102436E-006  0.108155E-006  0.546821E-006 -0.161403E-005  0.170414E-005
  94.00 -0.526439E-007  0.153063E-006  0.161863E-006  0.725491E-006 -0.210938E-005  0.223065E-005
  94.50 -0.763161E-007  0.218179E-006  0.231141E-006  0.934417E-006 -0.267139E-005  0.283010E-005
  95.00 -0.106779E-006  0.299644E-006  0.318101E-006  0.117604E-005 -0.330021E-005  0.350349E-005
  95.50 -0.145215E-006  0.399333E-006  0.424916E-006  0.145311E-005 -0.399597E-005  0.425198E-005
  96.00 -0.192946E-006  0.519128E-006  0.553825E-006  0.176870E-005 -0.475874E-005  0.507680E-005
  96.50 -0.251449E-006  0.660921E-006  0.707138E-006  0.212618E-005 -0.558856E-005  0.597935E-005
  97.00 -0.322372E-006  0.826603E-006  0.887241E-006  0.252925E-005 -0.648534E-005  0.696108E-005
  97.50 -0.407551E-006  0.101806E-005  0.109661E-005  0.298194E-005 -0.744890E-005  0.802360E-005
  98.00 -0.509032E-006  0.123718E-005  0.133781E-005  0.348862E-005 -0.847897E-005  0.916861E-005
  98.50 -0.629081E-006  0.148583E-005  0.161351E-005  0.405398E-005 -0.957509E-005  0.103979E-004
  99.00 -0.770211E-006  0.176582E-005  0.192649E-005  0.468307E-005 -0.107366E-004  0.117135E-004
  99.50 -0.935192E-006  0.207896E-005  0.227962E-005  0.538128E-005 -0.119627E-004  0.131174E-004
 100.00 -0.112708E-005  0.242697E-005  0.267591E-005  0.615434E-005 -0.132523E-004  0.146116E-004
 100.50 -0.134922E-005  0.281151E-005  0.311850E-005  0.700836E-005 -0.146040E-004  0.161986E-004
 101.00 -0.160530E-005  0.323416E-005  0.361065E-005  0.794976E-005 -0.160162E-004  0.178806E-004
 101.50 -0.189932E-005  0.369635E-005  0.415577E-005  0.898533E-005 -0.174867E-004  0.196601E-004
 102.00 -0.223566E-005  0.419939E-005  0.475743E-005  0.101222E-004 -0.190132E-004  0.215398E-004
 102.50 -0.261908E-005  0.474444E-005  0.541935E-005  0.113679E-004 -0.205928E-004  0.235222E-004
 103.00 -0.305472E-005  0.533242E-005  0.614540E-005  0.127301E-004 -0.222221E-004  0.256102E-004
 103.50 -0.354815E-005  0.596403E-005  0.693968E-005  0.142171E-004 -0.238973E-004  0.278067E-004
 104.00 -0.410538E-005  0.663969E-005  0.780638E-005  0.158373E-004 -0.256139E-004  0.301146E-004
 104.50 -0.473286E-005  0.735952E-005  0.875000E-005  0.175993E-004 -0.273667E-004  0.325372E-004
 105.00 -0.543751E-005  0.812326E-005  0.977516E-005  0.195123E-004 -0.291500E-004  0.350778E-004
 105.50 -0.622674E-005  0.893022E-005  0.108867E-004  0.215854E-004 -0.309571E-004  0.377395E-004
 106.00 -0.710844E-005  0.977924E-005  0.120898E-004  0.238281E-004 -0.327808E-004  0.405260E-004
 106.50 -0.809101E-005  0.106687E-004  0.133897E-004  0.262501E-004 -0.346129E-004  0.434409E-004
 107.00 -0.918334E-005  0.115962E-004  0.147921E-004  0.288611E-004 -0.364441E-004  0.464880E-004
 107.50 -0.103949E-004  0.125588E-004  0.163027E-004  0.316711E-004 -0.382643E-004  0.496711E-004
 108.00 -0.117355E-004  0.135530E-004  0.179278E-004  0.346900E-004 -0.400624E-004  0.529943E-004
 108.50 -0.132157E-004  0.145740E-004  0.196738E-004  0.379279E-004 -0.418261E-004  0.564619E-004
 109.00 -0.148464E-004  0.156165E-004  0.215474E-004  0.413945E-004 -0.435419E-004  0.600783E-004
 109.50 -0.166389E-004  0.166740E-004  0.235558E-004  0.450997E-004 -0.451950E-004  0.638480E-004
 110.00 -0.186052E-004  0.177390E-004  0.257066E-004  0.490531E-004 -0.467695E-004  0.677760E-004
 110.50 -0.207575E-004  0.188027E-004  0.280075E-004  0.532639E-004 -0.482479E-004  0.718673E-004
 111.00 -0.231086E-004  0.198550E-004  0.304669E-004  0.577412E-004 -0.496115E-004  0.761272E-004
