% Model:              Layer on halfspace, reflected field.mph
% Version:            COMSOL 5.6.0.341
% Date:               May 14 2023, 19:38
% Dimension:          1
% Nodes:              1047
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0.0012478583168362366     3.7209221791119185E-10
0.0012650641256819312     3.6272356184667586E-10
0.0012874797714964074     3.522682293217504E-10
0.001304749725045109      3.462457426314849E-10
0.0013271012261565783     3.4241528561999387E-10
0.0013441421128561168     3.428704808010759E-10
0.0013662085643591328     3.4792050070858486E-10
0.0013831564182171996     3.5469321329084927E-10
0.0014051728996841647     3.6530303970096466E-10
0.0014218103742346237     3.761563368874445E-10
0.0014440278646000349     3.9432456318075227E-10
0.0014604643302520478     4.103581914252284E-10
0.0014828828295159054     4.356894883572638E-10
0.001499118286269472      4.566060828521945E-10
0.0015217377944317762     4.898607308902262E-10
0.0015380513388356478     5.150291119310235E-10
0.0015610348571579395     5.528759323034543E-10
0.0015773781079001787     5.80152335679816E-10
0.0016003867956626064     6.157831811662495E-10
0.0016168258756020025     6.396674026039274E-10
0.0016397778060481616     6.717744762976359E-10
0.0016562736433038266     6.942708359088763E-10
0.0016791688164337162     7.247669721898094E-10
0.0016957214110056506     7.461956523369923E-10
0.0017185598268192714     7.749313346155679E-10
0.0017348582888372815     7.946449344325484E-10
0.0017573949314842491     8.207593026379519E-10
0.0017735676826722156     8.398087578421638E-10
0.0017961989756896995     8.663383824436234E-10
0.001812164236823676      8.833105469677512E-10
0.0018349808539235449     9.064201865192331E-10
0.0018507607909751366     9.220635426954569E-10
0.00187376273215739       9.441642826882253E-10
0.0018893573451265974     9.579776605089487E-10
0.0019125446103912353     9.749863145893993E-10
0.0019282259708620273     9.85889512246872E-10
0.0019517536088958926     9.967058609445635E-10
0.001967503998746694      1.0038496141093739E-9
0.001990936159764545      1.0182835898365634E-9
0.0020065737434201672     1.0268419142220955E-9
0.002030100953374707      1.0395855780067072E-9
0.0020456434880936404     1.0487640138559898E-9
0.0020692657469848687     1.0644223636625596E-9
0.002084713232767114      1.0752025448168976E-9
0.0021084305405950307     1.0898407363545067E-9
0.002123654002561884      1.1020763979242125E-9
0.0021473880523567336     1.1144610018964143E-9
0.0021623955247107563     1.1230404525413526E-9
0.0021866411249791377     1.1460335873993341E-9
0.0022018007815391904     1.160348834353707E-9
0.002226079400697471      1.1823359168550015E-9
0.002241206038367625      1.1956102580785296E-9
0.0022655176764158035     1.2162264979628452E-9
0.002280611295196059      1.2275721303688662E-9
0.002304955952134137      1.2384465040199968E-9
0.002319927737373182      1.246304896947545E-9
0.0023442371719136477     1.242628646838445E-9
0.0023591006154006014     1.2370168269645113E-9
0.0023837860444320706     1.2337108931186673E-9
0.002399053103502967      1.2290797733142202E-9
0.0024234978409330586     1.2153841419668579E-9
