% Model:              Layer on halfspace, reflected field.mph
% Version:            COMSOL 5.6.0.341
% Date:               May 14 2023, 19:32
% Dimension:          2
% Nodes:              201
% Expressions:        2
% Description:        , 
% Length unit:        m
% X                       Y                        abs(u) (mm) @ freq=1E7   abs(v) (mm) @ freq=1E7
0.0073                    -0.003                   3.556207759372837E-7     4.6518097074477327E-7
0.0074                    -0.003                   3.1114255664799775E-7    4.885446327858661E-7
0.007500000000000001      -0.003                   2.198295813925311E-7     5.154054907732533E-7
0.0076                    -0.003                   1.2417149565639193E-7    5.315084982531893E-7
0.0077                    -0.003                   2.8884076728248375E-8    5.388163903012434E-7
0.0078000000000000005     -0.003                   9.377443176394153E-8     5.197606636337658E-7
0.0079                    -0.003                   1.7815783548326833E-7    4.958208837571264E-7
0.008                     -0.003                   2.587077969051792E-7     4.558123002750287E-7
0.0081                    -0.003                   2.9980057982275974E-7    4.352802229595846E-7
0.0082                    -0.003                   3.104162072526739E-7     4.1991712225756256E-7
0.0083                    -0.003                   2.9318937461569083E-7    4.3054378150946945E-7
