% Model:              Layer on halfspace, reflected field.mph
% Version:            COMSOL 5.6.0.341
% Date:               May 14 2023, 19:38
% Dimension:          2
% Nodes:              201
% Expressions:        2
% Description:        , 
% Length unit:        m
% X                       Y                        abs(u) (mm) @ freq=1E7   abs(v) (mm) @ freq=1E7
0.013900000000000001      -0.003                   3.578038167072312E-7     3.6178932232212503E-7
0.014                     -0.003                   3.5279184563209055E-7    3.09391286649453E-7
0.014100000000000001      -0.003                   3.6651365396373533E-7    3.381966656896912E-7
0.0142                    -0.003                   4.36856531117417E-7      3.8810510887225387E-7
0.0143                    -0.003                   4.560315510547764E-7     4.1800343882557087E-7
0.014400000000000001      -0.003                   4.1030654892664615E-7    4.4078150322575414E-7
0.0145                    -0.003                   3.193289941989274E-7     4.265266884517952E-7
0.0146                    -0.003                   3.357852639743642E-7     3.358081686258148E-7
0.014700000000000001      -0.003                   4.564039071306421E-7     1.791294417189128E-7
0.0148                    -0.003                   5.401511501999082E-7     1.5718343488275927E-8
0.0149                    -0.003                   5.440634403050733E-7     1.581134283926304E-7
0.015000000000000001      -0.003                   4.4142492890270607E-7    2.069025208703565E-7
0.0151                    -0.003                   2.9999831212218064E-7    1.8845853570665287E-7
0.0152                    -0.003                   2.02136363924818E-7      1.8057778622034793E-7
0.015300000000000001      -0.003                   2.3246834186127904E-7    2.3021683404292325E-7
0.0154                    -0.003                   3.0563026263199237E-7    2.0171637482555758E-7
0.0155                    -0.003                   3.5216355063264797E-7    1.9848921479738682E-8
0.015600000000000001      -0.003                   3.955333846296994E-7     2.958528017128232E-7
0.015700000000000002      -0.003                   4.1484611590798335E-7    6.472593749856411E-7
0.0158                    -0.003                   4.6649446668506457E-7    9.105624165001463E-7
0.0159                    -0.003                   5.461605655753551E-7     9.832281484011917E-7
0.016                     -0.003                   6.20395077794514E-7      8.961377556827913E-7
0.0161                    -0.003                   6.617423256838743E-7     6.90202040883552E-7
0.0162                    -0.003                   6.542123559150475E-7     5.841965905786884E-7
0.016300000000000002      -0.003                   5.739420850805428E-7     6.001338475113554E-7
0.0164                    -0.003                   4.699501457516692E-7     6.618420819865263E-7
0.0165                    -0.003                   3.821242976413607E-7     6.535042641486653E-7
0.0166                    -0.003                   3.385974188513299E-7     6.285018405184369E-7
0.0167                    -0.003                   3.7714814055081037E-7    6.028188770498737E-7
0.016800000000000002      -0.003                   4.7024596895108756E-7    5.648417982411832E-7
0.016900000000000002      -0.003                   5.644380400731599E-7     4.807937217206119E-7
0.017                     -0.003                   6.2620678562958E-7       3.2034321776491505E-7
0.0171                    -0.003                   6.422813290681181E-7     1.129316748636221E-7
0.0172                    -0.003                   5.96987998338477E-7      1.5820282412355326E-7
0.0173                    -0.003                   5.50626182870448E-7      3.9534036391440794E-7
0.017400000000000002      -0.003                   5.056580497607893E-7     5.855552219201544E-7
0.0175                    -0.003                   4.7241071823058396E-7    7.19752647011907E-7
0.0176                    -0.003                   4.078486877886845E-7     7.532254252266385E-7
0.0177                    -0.003                   2.7987779323139027E-7    6.908690759855638E-7
0.0178                    -0.003                   1.480920912318376E-7     5.485884373117117E-7
0.0179                    -0.003                   8.147952795264512E-8     3.8763875020564786E-7
0.018000000000000002      -0.003                   1.543283588701577E-7     3.112050807511476E-7
0.0181                    -0.003                   1.7785647184888865E-7    3.552287290305076E-7
0.0182                    -0.003                   1.5627749062270876E-7    4.2354019604997914E-7
0.0183                    -0.003                   1.2626972416900958E-7    4.6369761156906555E-7
0.0184                    -0.003                   1.7317742087516525E-7    4.951881542349441E-7
0.018500000000000003      -0.003                   2.5538620623436143E-7    4.995354701322394E-7
0.018600000000000002      -0.003                   3.2566321423444155E-7    4.914141422687479E-7
0.0187                    -0.003                   3.886520975131276E-7     4.620560596128568E-7
0.0188                    -0.003                   4.355519979412993E-7     4.328207053830838E-7
0.0189                    -0.003                   4.394905903732586E-7     3.9201196746959376E-7
0.019                     -0.003                   3.8667036861333954E-7    3.40575594584552E-7
0.019100000000000002      -0.003                   3.042847898993069E-7     2.9643268521506507E-7
0.019200000000000002      -0.003                   3.0948925916212016E-7    2.934421928724796E-7
0.0193                    -0.003                   4.3914247859573907E-7    3.328680416181766E-7
0.0194                    -0.003                   5.563130926217882E-7     3.8784247589628827E-7
0.0195                    -0.003                   5.780291784781309E-7     4.1853819407189976E-7
0.0196                    -0.003                   4.931317826399827E-7     3.937271416835312E-7
0.019700000000000002      -0.003                   3.414377129431109E-7     3.042397503236908E-7
0.0198                    -0.003                   1.9988269365634673E-7    1.804641466651881E-7
0.0199                    -0.003                   1.9367173286759602E-7    1.4176541843432322E-7
0.02                      -0.003                   2.777618166033712E-7     2.5452622829485436E-7
